City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mar Del Plata,AR,2021-08-15 18:38:18,-38.0023,-57.5575,59.02,63,0,5.75
68,Faanui,PF,2021-08-15 18:39:06,-16.4833,-151.75,78.85,73,16,13.04
69,San Patricio,US,2021-08-15 18:39:06,28.017,-97.5169,94.98,40,17,8.3
70,Tasiilaq,GL,2021-08-15 18:39:07,65.6145,-37.6368,60.96,69,81,11.14
71,Asfi,MA,2021-08-15 18:39:08,32.2994,-9.2372,77.85,65,4,19.48
72,Katsuura,JP,2021-08-15 18:39:09,35.1333,140.3,69.91,94,100,12.97
73,Lorengau,PG,2021-08-15 18:39:09,-2.0226,147.2712,79.65,83,99,4.21
74,Sinnai,IT,2021-08-15 18:39:10,39.3042,9.2036,91.85,62,0,5.75
75,Enshi,CN,2021-08-15 18:39:11,30.3,109.4833,69.96,96,100,0.87
76,Tay Ninh,VN,2021-08-15 18:39:11,11.3,106.1,77.86,84,87,0.94
77,Noumea,NC,2021-08-15 18:39:12,-22.2763,166.4572,58.98,77,6,9.42
78,Monroe,US,2021-08-15 18:39:12,43.1501,-77.6831,76.08,59,75,5.75
79,Tezu,IN,2021-08-15 18:39:13,27.9167,96.1667,77.54,89,100,2.15
80,Sorland,NO,2021-08-15 18:39:13,67.667,12.6934,51.87,77,100,20.96
81,Lompoc,US,2021-08-15 18:39:14,34.6391,-120.4579,81.57,82,90,10.36
82,Lavrentiya,RU,2021-08-15 18:35:26,65.5833,-171.0,42.98,85,100,5.44
83,New Norfolk,AU,2021-08-15 18:39:14,-42.7826,147.0587,42.3,82,100,3.0
84,Chokurdakh,RU,2021-08-15 18:39:14,70.6333,147.9167,39.27,77,82,9.8
85,Bredasdorp,ZA,2021-08-15 18:39:15,-34.5322,20.0403,52.92,87,88,1.14
86,Yellowknife,CA,2021-08-15 18:39:15,62.456,-114.3525,59.52,67,75,12.66
87,Yerofey Pavlovich,RU,2021-08-15 18:35:14,53.9667,121.9667,55.02,80,5,2.3
88,East London,ZA,2021-08-15 18:34:32,-33.0153,27.9116,59.94,88,20,9.22
89,Vegachi,CO,2021-08-15 18:39:16,6.7614,-74.7947,83.25,46,58,4.7
90,Arraial Do Cabo,BR,2021-08-15 18:39:16,-22.9661,-42.0278,71.56,78,40,13.8
91,Tiksi,RU,2021-08-15 18:39:17,71.6872,128.8694,39.02,94,18,5.79
92,Bethel,US,2021-08-15 18:39:17,41.3712,-73.414,82.76,50,1,8.05
93,Namibe,AO,2021-08-15 18:39:17,-15.1961,12.1522,66.6,92,16,7.34
94,Mahebourg,MU,2021-08-15 18:39:18,-20.4081,57.7,66.49,88,40,12.66
95,Pontianak,ID,2021-08-15 18:39:18,-0.0333,109.3333,73.38,100,90,4.61
96,Ippy,CF,2021-08-15 18:39:18,6.2679,21.2247,71.26,95,100,0.98
97,Atasu,KZ,2021-08-15 18:39:19,48.6814,71.6433,64.31,46,30,4.85
98,Alta Floresta,BR,2021-08-15 18:39:19,-9.8756,-56.0861,94.82,28,40,9.22
99,Bollnas,SE,2021-08-15 18:39:20,61.3482,16.3946,58.39,95,100,5.99
100,Minab,IR,2021-08-15 18:39:20,27.1467,57.0801,92.7,64,29,2.93
101,Upernavik,GL,2021-08-15 18:39:20,72.7868,-56.1549,42.4,94,100,13.73
102,Luangwa,ZM,2021-08-15 18:39:21,-15.6167,30.4167,71.82,49,52,7.63
103,Ponta Do Sol,PT,2021-08-15 18:39:21,32.6667,-17.1,84.83,59,7,5.41
104,Pacific Grove,US,2021-08-15 18:36:34,36.6177,-121.9166,81.63,86,75,5.01
105,Inhambane,MZ,2021-08-15 18:39:23,-23.865,35.3833,66.18,77,75,0.0
106,Codrington,AU,2021-08-15 18:39:23,-38.2667,141.9667,50.31,71,9,17.78
107,Port Alfred,ZA,2021-08-15 18:39:23,-33.5906,26.891,59.86,79,0,12.84
108,Chisinau,MD,2021-08-15 18:36:13,47.0056,28.8575,72.93,70,0,2.3
109,Rognan,NO,2021-08-15 18:39:24,67.0953,15.3878,55.76,81,91,4.07
110,Bonthe,SL,2021-08-15 18:39:24,7.5264,-12.505,77.65,80,100,7.61
111,Palora,EC,2021-08-15 18:39:25,-1.7,-77.9333,77.11,79,95,2.66
112,Port Hardy,CA,2021-08-15 18:39:25,50.6996,-127.4199,60.98,100,90,0.0
113,Sumenep,ID,2021-08-15 18:39:26,-7.0167,113.8667,79.52,76,11,14.74
114,Saldanha,ZA,2021-08-15 18:39:26,-33.0117,17.9442,53.65,73,54,13.29
115,Ulladulla,AU,2021-08-15 18:39:26,-35.35,150.4667,57.09,43,0,10.98
116,Wanning,CN,2021-08-15 18:36:15,18.8003,110.3967,80.49,89,57,9.73
117,Oussouye,SN,2021-08-15 18:39:27,12.485,-16.5469,86.18,83,100,3.38
118,Biak,ID,2021-08-15 18:39:27,-0.9131,122.8766,74.79,84,21,7.27
119,Qostanay,KZ,2021-08-15 18:36:56,53.1667,63.5833,69.87,54,18,6.29
120,Inirida,CO,2021-08-15 18:39:28,3.8653,-67.9239,81.1,84,85,1.59
121,Turochak,RU,2021-08-15 18:39:28,52.2576,87.1224,55.24,92,76,1.68
122,Hobart,AU,2021-08-15 18:39:29,-42.8794,147.3294,42.66,86,90,5.99
123,Ketchikan,US,2021-08-15 18:39:29,55.3422,-131.6461,55.87,76,90,3.44
124,Axim,GH,2021-08-15 18:39:30,4.8699,-2.2405,76.55,79,52,8.88
125,Cabo San Lucas,MX,2021-08-15 18:39:30,22.8909,-109.9124,97.52,55,1,10.36
126,Fort Nelson,CA,2021-08-15 18:39:30,58.8053,-122.7002,60.39,72,75,2.3
127,Davila,PH,2021-08-15 18:39:31,18.4726,120.5763,76.98,79,34,10.54
128,Lagoa,PT,2021-08-15 18:39:31,39.05,-27.9833,71.2,77,99,6.91
129,Bambous Virieux,MU,2021-08-15 18:39:31,-20.3428,57.7575,66.45,88,40,12.66
130,Labuhan,ID,2021-08-15 18:39:32,-6.8844,112.2051,76.6,84,16,6.55
131,Nelson Bay,AU,2021-08-15 18:36:14,-32.7167,152.15,53.76,65,0,15.93
132,Morros,BR,2021-08-15 18:39:32,-9.4467,-46.3003,93.85,13,4,8.43
133,Aleksandrovsk-Sakhalinskiy,RU,2021-08-15 18:39:33,50.8975,142.1561,53.49,92,68,10.51
134,Belmonte,BR,2021-08-15 18:39:33,-15.8631,-38.8828,77.5,68,0,7.9
135,Matagami,CA,2021-08-15 18:39:33,49.7502,-77.6328,73.51,43,20,16.11
136,Saint-Pierre,RE,2021-08-15 18:39:34,-21.3393,55.4781,65.84,77,75,11.5
137,Port Augusta,AU,2021-08-15 18:39:34,-32.5,137.7667,41.14,81,0,4.65
138,Namatanai,PG,2021-08-15 18:39:34,-3.6667,152.4333,78.67,84,83,5.19
139,Neiafu,TO,2021-08-15 18:39:35,-18.65,-173.9833,68.68,73,75,0.0
140,Mazagao,BR,2021-08-15 18:39:35,-0.115,-51.2894,91.45,55,29,3.8
141,Panji,ID,2021-08-15 18:39:36,-7.7253,114.0995,73.13,80,5,5.73
142,Bilma,NE,2021-08-15 18:39:36,18.6853,12.9164,97.5,24,52,7.52
143,Leningradskiy,RU,2021-08-15 18:35:32,69.3833,178.4167,32.56,94,100,12.5
144,Lebu,CL,2021-08-15 18:39:37,-37.6167,-73.65,50.13,91,100,22.95
145,Olinda,BR,2021-08-15 18:38:52,-8.0089,-34.8553,76.73,65,40,16.11
146,Potosi,BO,2021-08-15 18:34:46,-19.5836,-65.7531,55.04,5,21,9.42
147,Kapit,MY,2021-08-15 18:39:38,2.0167,112.9333,72.9,100,100,0.54
148,Leonforte,IT,2021-08-15 18:39:38,37.6443,14.4007,80.58,50,0,0.85
149,Moose Factory,CA,2021-08-15 18:39:38,51.2585,-80.6094,78.8,38,1,20.71
150,Irmo,US,2021-08-15 18:39:39,34.086,-81.1832,93.92,59,75,3.44
151,Petropavlovsk-Kamchatskiy,RU,2021-08-15 18:35:23,53.0452,158.6483,46.99,100,20,6.71
152,Xining,CN,2021-08-15 18:39:07,36.6167,101.7667,56.07,77,21,1.59
153,Nantucket,US,2021-08-15 18:39:39,41.2835,-70.0995,81.25,61,1,10.36
154,Puerto Suarez,BO,2021-08-15 18:39:40,-18.95,-57.8,91.96,25,0,3.44
155,Koslan,RU,2021-08-15 18:39:40,63.4564,48.8989,60.53,90,100,11.1
156,Tamandare,BR,2021-08-15 18:39:41,-8.7597,-35.1047,77.32,69,75,11.68
157,Etchoropo,MX,2021-08-15 18:39:41,26.7667,-109.6667,98.42,54,11,8.48
158,Chambas,CU,2021-08-15 18:39:41,22.1928,-78.9136,89.22,63,99,6.15
159,Ulaangom,MN,2021-08-15 18:39:42,49.9811,92.0667,59.95,71,100,5.01
160,Vestmannaeyjar,IS,2021-08-15 18:39:42,63.4427,-20.2734,54.59,87,90,12.66
161,Chuy,UY,2021-08-15 18:39:42,-33.6971,-53.4616,60.73,84,55,4.14
162,Banjarmasin,ID,2021-08-15 18:39:43,-3.3244,114.591,75.34,92,86,4.0
163,Kautokeino,NO,2021-08-15 18:39:43,69.0125,23.0412,45.36,72,97,13.49
164,Krasnooktyabrskiy,RU,2021-08-15 18:39:44,44.9328,38.3712,73.53,84,28,7.78
165,Samarai,PG,2021-08-15 18:39:44,-10.6167,150.6667,77.97,85,53,17.07
166,Sobolevo,RU,2021-08-15 18:39:45,54.4299,31.8996,63.88,72,14,2.66
167,Pimentel,PE,2021-08-15 18:39:45,-6.8367,-79.9342,75.49,77,0,4.0
168,Tateyama,JP,2021-08-15 18:39:45,34.9833,139.8667,69.82,91,100,14.07
169,Ahipara,NZ,2021-08-15 18:39:46,-35.1667,173.1667,46.94,84,6,2.84
170,Tura,IN,2021-08-15 18:39:46,25.5198,90.2201,74.28,95,94,4.21
171,Victoria,HK,2021-08-15 18:36:05,22.2855,114.1577,82.36,90,100,6.4
172,Kavieng,PG,2021-08-15 18:39:47,-2.5744,150.7967,81.36,78,97,10.69
173,Chapais,CA,2021-08-15 18:39:47,49.7834,-74.8492,67.78,31,18,8.5
174,Mecca,SA,2021-08-15 18:37:31,21.4267,39.8261,92.62,33,92,1.16
175,Neman,RU,2021-08-15 18:39:48,55.0311,22.0264,57.22,90,7,5.19
176,Butaritari,KI,2021-08-15 18:39:48,3.0707,172.7902,82.49,74,21,9.19
177,Indi,IN,2021-08-15 18:39:49,17.1667,75.9667,77.49,72,92,14.23
178,Souillac,MU,2021-08-15 18:39:49,-20.5167,57.5167,66.58,88,40,12.66
179,Saint-Francois,FR,2021-08-15 18:39:49,46.4154,3.9054,80.19,64,75,12.66
180,Katobu,ID,2021-08-15 18:39:50,-4.9408,122.5276,73.35,94,15,2.84
181,Belogorsk,RU,2021-08-15 18:39:50,50.9158,128.4611,60.22,87,0,2.77
182,Saint-Philippe,RE,2021-08-15 18:39:51,-21.3585,55.7679,65.75,79,84,12.86
183,Klaksvik,FO,2021-08-15 18:39:51,62.2266,-6.589,49.12,73,21,12.66
184,Port Keats,AU,2021-08-15 18:39:51,-14.25,129.55,74.68,49,0,6.53
185,Camacha,PT,2021-08-15 18:39:52,33.0833,-16.3333,81.36,83,20,19.57
186,Awbari,LY,2021-08-15 18:39:52,26.5921,12.7805,86.36,18,0,5.44
187,Nanortalik,GL,2021-08-15 18:39:53,60.1432,-45.2371,49.66,94,100,10.29
188,Aksarayskiy,RU,2021-08-15 18:39:53,46.7924,48.0119,73.35,57,100,7.92
189,Nioro,GM,2021-08-15 18:39:53,13.35,-15.75,80.44,78,100,5.77
190,Blyth,GB,2021-08-15 18:39:54,55.1271,-1.5086,64.58,75,20,14.97
191,Palermo,IT,2021-08-15 18:39:54,37.8167,13.5833,82.8,45,0,2.75
192,Pevek,RU,2021-08-15 18:39:54,69.7008,170.3133,32.67,99,100,4.99
193,Ancud,CL,2021-08-15 18:39:55,-41.8697,-73.8203,46.22,91,100,18.95
194,San Cristobal,VE,2021-08-15 18:39:55,7.7669,-72.225,80.78,56,29,6.73
195,Chunskiy,RU,2021-08-15 18:39:56,56.0815,99.6342,55.24,82,100,2.06
196,Amboasary,MG,2021-08-15 18:39:56,-25.0333,46.3833,64.24,74,12,10.02
197,Katherine,AU,2021-08-15 18:39:56,-14.4667,132.2667,68.32,68,3,6.91
198,Luderitz,NA,2021-08-15 18:39:57,-26.6481,15.1594,56.91,73,1,6.33
199,Hirado,JP,2021-08-15 18:39:57,33.3597,129.5531,72.7,93,100,4.74
200,Kilindoni,TZ,2021-08-15 18:39:58,-7.9139,39.6668,76.06,79,6,18.52
201,Khash,IR,2021-08-15 18:39:58,28.2211,61.2158,78.39,9,0,5.5
202,Urengoy,RU,2021-08-15 18:39:58,65.9667,78.3667,54.86,77,100,16.84
203,Cherskiy,RU,2021-08-15 18:39:59,68.75,161.3,42.73,88,100,1.14
204,Torbay,CA,2021-08-15 18:35:30,47.6666,-52.7314,83.17,69,40,13.8
