City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
216,Toucheng,TW,84.15,light rain,24.8592,121.8233,和風時尚VILLA會館
219,San Matias,BO,83.84,clear sky,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
220,Bubaque,GW,79.74,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
221,Vilhena,BR,76.68,clear sky,-12.7406,-60.1458,Hotel Mirage
222,Alpena,US,75.34,clear sky,45.0617,-83.4327,Days Inn by Wyndham Alpena
226,Del Rio,US,78.91,light rain,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
234,Manggar,ID,80.67,overcast clouds,-2.8833,108.2667,Guest Hotel
238,Jinan,CN,76.28,light rain,36.6683,116.9972,Shandong Grand Tower Hotel
239,Sao Filipe,CV,77.9,broken clouds,14.8961,-24.4956,Hotel Xaguate
240,Jalu,LY,79.77,clear sky,29.0331,21.5482,صاحبة الفخامة
241,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
243,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
244,Fairview,US,76.86,clear sky,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
261,Shenzhen,CN,86.86,light rain,22.5455,114.0683,Shenzhen Shanghai Hotel
263,Kilindoni,TZ,75.11,few clouds,-7.9139,39.6668,Bustani B&B
264,Rock Hill,US,80.78,broken clouds,34.9249,-81.0251,DDCSVC
268,Bengkulu,ID,75.24,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
269,Alenquer,BR,79.14,scattered clouds,-1.9417,-54.7383,Josilene Castro
270,Ergani,TR,79.52,clear sky,38.2653,39.7621,Serkan Hotel
271,Mazara Del Vallo,IT,78.01,clear sky,37.6641,12.588,Vizier Resort & Spa
276,Aquin,HT,80.37,overcast clouds,18.2833,-73.4,Asheev Beach
288,Hong Gai,VN,82.31,few clouds,20.956,107.0946,Hạ Long DC Hotel
289,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
290,San Jose,US,87.78,few clouds,37.3394,-121.895,The Westin San Jose
292,Matara,LK,77.04,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
294,Brigantine,US,77.32,scattered clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
301,Hambantota,LK,78.37,overcast clouds,6.1241,81.1185,Bungalow 63
310,Oyama,JP,85.66,broken clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
313,Uribia,CO,86.41,overcast clouds,11.7139,-72.266,Hotel Uribia
320,Biak,ID,77.81,broken clouds,-0.9131,122.8766,Penginapan Kim
325,Pangai,TO,78.91,light rain,-19.8,-174.35,Ha'apai Beach Resort
326,Kieta,PG,83.82,clear sky,-6.2167,155.6333,Uruna Bay Retreat
328,Bilma,NE,88.52,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
331,Kuching,MY,75.42,light rain,1.55,110.3333,The Ranee Boutique Suites
333,Acarau,BR,78.12,scattered clouds,-2.8856,-40.12,castelo pizzaria
335,Port Blair,IN,80.85,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
337,Libreville,GA,75.22,thunderstorm with light rain,0.3925,9.4537,Hotel Re-Ndama
350,Soc Trang,VN,76.96,overcast clouds,9.6033,105.98,Phu Quy Hotel
351,Bambanglipuro,ID,76.86,broken clouds,-7.95,110.2833,Puri Brata
354,Nabire,ID,82.18,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
355,Axim,GH,76.01,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
356,Jian,CN,78.39,overcast clouds,27.1172,114.9793,Luling International Hotel
358,Singapore,SG,78.71,heavy intensity rain,1.2897,103.8501,The Fullerton Hotel Singapore
360,Mani,CO,76.17,broken clouds,4.8172,-72.2886,Hotel Belgrado
362,Caucaia,BR,80.04,broken clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
363,Yining,CN,78.06,overcast clouds,29.0361,114.5636,Xiushui Hotel
364,Houma,US,88.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
